"celebrates","Who.do.you.celebrate.the.Fourth.of.July.with.","watches_fireworks","what_do_you_wear","celebration_location","Describe.America.in.three.words","Why.do.you.not.celebrate.the.Fourth.of.July.","Describe.America.in.3.words","gender","age_group","race","is_hispanic","region","Democrat_party_opinion","Republican_party_opinion","Donald_Trump_opinion","id","trump_support","democrat_support","republican_support","three_words","weight","political_weight","devices","devices_value"
"Yes","Family;Friends;With strangers","Rarely","Sunscreen","Outdoors","Unequitable deceitful entertained","","","Male","55+","White","No","West",3,1,1,11,"Disapprove","Neutral","Disapprove","Unequitable deceitful entertained",1.24928013335746,0.716764582463777,"Bang Snaps",0
"Yes","Family","Usually","Jeans","Outdoors","Getting uncomfortably fascist","","","Male","25-34","White","No","Southeast",4,1,1,12,"Disapprove","Approve","Disapprove","Getting uncomfortably fascist",0.0745057913487883,0.0472393097054153,"Bang Snaps",1
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Jeans;Sunscreen","Both","Making America Great","","","Female","55+","White","No","Southeast",1,5,5,13,"Approve","Disapprove","Approve","Making America Great",1.29266810267779,1.10263113395309,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate","Terrifying under Trump","Female","55+","White","No","Southeast",5,1,1,14,"Disapprove","Approve","Disapprove","Terrifying under Trump",1.29266810267779,0.454214017398436,"Bang Snaps",0
"Yes","Family;Friends","Rarely","Clothing that is primarily red and white stripes;Clothing featuring the American Flag","Both","Best country ever","","","Male","18-24","White","No","Midwest",1,4,3,15,"Neutral","Disapprove","Approve","Best country ever",0.0324842111986291,0.000280763659906437,"Bang Snaps",0
"Yes","By myself","Rarely","Jeans","Indoors","Big screwed ugly","","","Male","35-44","Black","No","Southeast",3,1,1,16,"Disapprove","Neutral","Disapprove","Big screwed ugly",7.54297945761364,7.90448465702436,"Bang Snaps",0
"Yes","Family;Friends;By myself;With strangers","Usually","Solid white clothing","Both","Unsustainable violent mockery","","","Other","25-34","White","No","Midwest",4,1,1,17,"Disapprove","Approve","Disapprove","Unsustainable violent mockery",0.160005810356888,0.0174902932563698,"Bang Snaps",1
"No","","","None of the above","","","Political reasons","Hateful sociopathic ignorant","Male","45-54","White","No","Northeast",5,1,1,18,"Disapprove","Approve","Disapprove","Hateful sociopathic ignorant",2.18085689269742,1.89053052411016,"Bang Snaps",0
"Yes","Family;Friends","Usually","None of the above","Both","Good Opportunity Freedom","","","Male","18-24","Asian","No","Southeast",3,3,1,19,"Disapprove","Neutral","Neutral","Good Opportunity Freedom",0.0585755961393423,0.498879747337721,"Bang Snaps",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;Political reasons","diverse overrated trying","Male","35-44","White","No","Southeast",1,1,1,20,"Disapprove","Disapprove","Disapprove","diverse overrated trying",0.149699963262195,0.0727345495747334,"Bang Snaps",0
"Yes","Family","Rarely","Solid red clothing;Solid white clothing;Solid blue clothing;Jeans","Outdoors","a hot mess","","","Female","18-24","White","No","Northeast",4,1,1,21,"Disapprove","Approve","Disapprove","a hot mess",0.502536163331714,0.272542963940985,"Bang Snaps",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle","Outdoors","Free Amazing Divided","","","Male","18-24","White","No","Midwest",1,1,3,22,"Neutral","Disapprove","Disapprove","Free Amazing Divided",0.0324842111986291,0.000280763659906437,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate","Bullshit fascists racists","Male","25-34","White","Yes","West",4,1,1,23,"Disapprove","Approve","Disapprove","Bullshit fascists racists",1.59772216911692,2.67773461401047,"Bang Snaps",0
"Yes","Family;Friends","Usually","Sunscreen","Both","MAGA MAGA MAGA","","","Male","25-34","Asian","Yes","Midwest",5,1,3,24,"Neutral","Approve","Disapprove","MAGA MAGA MAGA",6.73535305233147,4.12530436306265,"Bang Snaps",1
"Yes","Family;Friends","Rarely","None of the above","Outdoors","Freedom opportunity hope","","","Male","45-54","White","Yes","Southwest",1,4,3,25,"Neutral","Disapprove","Approve","Freedom opportunity hope",2.059178748342,0.0952282156791762,"Bang Snaps",1
"No","","","None of the above","","","Political reasons","racist imperialist proto-fascist","Female","25-34","White","No","West",1,1,1,26,"Disapprove","Disapprove","Disapprove","racist imperialist proto-fascist",0.970541816645894,0.904271463769729,"Bang Snaps",0
"Yes","Family","Rarely","Clothing making a political statement;Jeans;Sunscreen","Outdoors","The great experiment","","","Male","55+","White","No","Northeast",1,2,4,27,"Approve","Disapprove","Disapprove","The great experiment",4.27304256834385,6.09101426386911,"Bang Snaps",0
"Yes","Family;Friends","Rarely","Jeans;Sunscreen","Indoors","Red white blue","","","Male","18-24","White","No","West",4,1,1,28,"Disapprove","Approve","Disapprove","Red white blue",0.0400188150040658,0.0223538315783652,"Bang Snaps",0
"Yes","Family","Usually","Sunscreen","Outdoors","Headed for revolution","","","Male","45-54","White","No","Northeast",3,1,1,29,"Disapprove","Neutral","Disapprove","Headed for revolution",2.18085689269742,1.89053052411016,"Bang Snaps",0
"No","","","None of the above","","","No one to celebrate with","I also work","Female","45-54","White","No","West",2,1,1,30,"Disapprove","Disapprove","Disapprove","I also work",2.34086027763695,1.88096178516977,"Bang Snaps",0
"Yes","Family","Usually","Clothing featuring the American Flag;Sunscreen","Outdoors","Broken racist oligarchy","","","Male","25-34","White","No","Midwest",3,1,1,31,"Disapprove","Neutral","Disapprove","Broken racist oligarchy",0.214583657487779,0.237244928654966,"Bang Snaps",0
"Yes","Family","Always","Sunscreen","Outdoors","Going downhill fast","","","Male","45-54","Other","No","West",4,2,1,32,"Disapprove","Approve","Disapprove","Going downhill fast",0.477963102612926,0.351321465078804,"Bang Snaps",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle;Sunscreen","Outdoors","Land of free","","","Male","35-44","Multiple Races","No","Southeast",1,5,5,33,"Approve","Disapprove","Approve","Land of free",0.0518514967631962,0.0466144478771255,"Bang Snaps",0
"Yes","Family;Friends","Usually","Jeans","Both","Capitalist Rich Powerful","","","Male","18-24","Multiple Races","No","Midwest",4,1,1,34,"Disapprove","Approve","Disapprove","Capitalist Rich Powerful",0.0112515389791419,0.005392619752028,"Bang Snaps",1
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;No one to celebrate with","Empire Diverse Prosperity","Male","25-34","White","No","West",3,2,1,35,"Disapprove","Neutral","Disapprove","Empire Diverse Prosperity",0.264355616930038,0.25963257860464,"Bang Snaps",0
"No","","","None of the above","","","I Don't like general Fourth of July activities","Complex Immature Self-Involved","Female","35-44","White","No","Midwest",4,1,1,36,"Disapprove","Approve","Disapprove","Complex Immature Self-Involved",1.58290195257949,1.27225389156352,"Bang Snaps",0
"Yes","Family;Friends","Always","Clothing featuring the American Flag","Both","Needs less Illegals","","","Male","18-24","Multiple Races","No","Southwest",1,3,5,37,"Approve","Disapprove","Neutral","Needs less Illegals",0.00740688112219324,0.0178195841125713,"Bang Snaps",0
"Yes","Family;Friends","Always","Clothing featuring the American Flag;Clothing featuring a bald eagle;Clothing making a political statement","Both","Greatest On Earth","","","Male","18-24","Multiple Races","Yes","Southwest",1,4,5,38,"Approve","Disapprove","Approve","Greatest On Earth",0.0447659796692485,0.183783242619039,"Bang Snaps",1
"Yes","Family","Always","Clothing that is primarily red and white stripes;Clothing featuring the American Flag;Clothing featuring a bald eagle;Jeans;Sunscreen","Both","I love america","","","Female","55+","White","Yes","Southeast",1,5,5,39,"Approve","Disapprove","Approve","I love america",7.54297945761364,7.90448465702436,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate","Really horrible now","Female","45-54","White","No","Midwest",4,1,1,40,"Disapprove","Approve","Disapprove","Really horrible now",1.90013121671681,1.71876983591051,"Bang Snaps",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle","Outdoors","Liberty Justice Compassion","","","Male","35-44","White","No","Northeast",1,5,5,41,"Approve","Disapprove","Approve","Liberty Justice Compassion",1.81676012865678,3.39710895984447,"Bang Snaps",0
"Yes","Family;Friends;By myself;With strangers","Always","Clothing featuring the American Flag;Clothing featuring a bald eagle;Jeans","Both","Free diverse powerful","","","Male","18-24","White","No","West",3,3,2,42,"Disapprove","Neutral","Neutral","Free diverse powerful",0.0400188150040658,0.0223538315783652,"Bang Snaps",1
"Yes","Family;Friends","Usually","Jeans;Sunscreen","Both","diverse struggling hopeful","","","Female","18-24","White","No","Midwest",4,1,1,43,"Disapprove","Approve","Disapprove","diverse struggling hopeful",0.119260886964131,0.0711425396892855,"Bang Snaps",0
"Yes","By myself;With strangers","Always","Clothing making a political statement","Both","Liberty happines freedom","","","Male","45-54","White","No","Northeast",1,3,5,44,"Approve","Disapprove","Neutral","Liberty happines freedom",2.18085689269742,4.58937358981579,"Bang Snaps",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Sunscreen","Both","Greatest country ever","","","Male","18-24","White","No","West",3,4,2,45,"Disapprove","Neutral","Approve","Greatest country ever",0.0400188150040658,0.0223538315783652,"Bang Snaps",1
"Yes","Friends","Usually","Sunscreen","Outdoors","big overrated diverse","","","Female","18-24","Other","Yes","Northeast",2,1,1,46,"Disapprove","Disapprove","Disapprove","big overrated diverse",2.27679866188623,1.82855350537605,"Bang Snaps",1
"Yes","Family","Always","None of the above","Both","Sadly racist home","","","Male","25-34","White","No","Midwest",3,1,1,47,"Disapprove","Neutral","Disapprove","Sadly racist home",0.214583657487779,0.237244928654966,"Bang Snaps",0
"Yes","Family;Friends","Usually","Sunscreen","Outdoors","In horrible trouble","","","Female","55+","White","No","Midwest",5,1,1,48,"Disapprove","Approve","Disapprove","In horrible trouble",3.72300521031777,2.28115044067683,"Bang Snaps",0
"Yes","Family;Friends","Usually","Jeans;Sunscreen","Outdoors","Individualism Opportunity Bloated","","","Male","35-44","White","No","Midwest",3,1,1,49,"Disapprove","Neutral","Disapprove","Individualism Opportunity Bloated",0.431149915477145,0.365286942849433,"Bang Snaps",0
"Yes","Family;By myself;With strangers","Always","Sunscreen","Outdoors","Divided at present","","","Female","45-54","White","No","Midwest",3,3,1,50,"Disapprove","Neutral","Neutral","Divided at present",1.90013121671681,1.71876983591051,"Bang Snaps",1
"Yes","By myself","Rarely","Sunscreen;None of the above","Indoors","Land of Freedom","","","Male","18-24","White","No","West",1,3,3,51,"Neutral","Disapprove","Neutral","Land of Freedom",0.0400188150040658,0.000307257960847706,"Bang Snaps",0
"Yes","Family","Always","Solid red clothing","Both","Beautiful freedom majestic","","","Female","45-54","White","No","Southeast",2,3,4,52,"Approve","Disapprove","Neutral","Beautiful freedom majestic",0.659746327495068,0.830795330014297,"Bang Snaps",0
"Yes","Family","Usually","Jeans","Outdoors","Taxation with representation","","","Male","18-24","White","No","Southeast",1,1,2,53,"Disapprove","Disapprove","Disapprove","Taxation with representation",0.011278873191137,0.00406720750804197,"Bang Snaps",0
"No","","","None of the above","","","","Trump dumpster fire","Female","45-54","White","No","Southeast",5,1,1,54,"Disapprove","Approve","Disapprove","Trump dumpster fire",0.659746327495068,0.342234925952769,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Always","Jeans;Sunscreen","Outdoors","Greatest Country Ever","","","Male","35-44","White","No","Midwest",2,4,5,55,"Approve","Disapprove","Approve","Greatest Country Ever",0.431149915477145,0.886755451360305,"Bang Snaps",1
"Yes","Family;Friends","Usually","Sunscreen","Outdoors","Immigrantion divided young","","","Female","18-24","White","No","Northeast",3,2,1,56,"Disapprove","Neutral","Disapprove","Immigrantion divided young",0.502536163331714,0.272542963940985,"Bang Snaps",1
"Yes","Family;By myself","Rarely","Jeans","Outdoors","Free collapsing rich","","","Female","18-24","White","No","Northeast",4,1,1,57,"Disapprove","Approve","Disapprove","Free collapsing rich",0.502536163331714,0.272542963940985,"Bang Snaps",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;Political reasons","Arrogant materialistic unsafe","Male","25-34","White","No","Northeast",3,1,1,58,"Disapprove","Neutral","Disapprove","Arrogant materialistic unsafe",0.90420296790202,0.908871630363372,"Bang Snaps",0
"Yes","Family","Usually","Sunscreen;None of the above","Both","Prombletic unique liviable","","","Female","18-24","Black","No","Midwest",3,1,1,59,"Disapprove","Neutral","Disapprove","Prombletic unique liviable",6.83179968173321,7.90448465702436,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate;No one to celebrate with;Political reasons;Other","Imperialistic divided aggressive","Female","45-54","White","No","Midwest",4,1,1,60,"Disapprove","Approve","Disapprove","Imperialistic divided aggressive",1.90013121671681,1.71876983591051,"Bang Snaps",0
"Yes","Friends","Usually","Jeans","Outdoors","Shit hole country","","","Male","18-24","White","No","West",3,1,1,61,"Disapprove","Neutral","Disapprove","Shit hole country",0.0400188150040658,0.0223538315783652,"Bang Snaps",0
"Yes","Family","Usually","Sunscreen","Outdoors","Beautiful scary complicated","","","Male","35-44","White","No","Midwest",1,2,2,62,"Disapprove","Disapprove","Disapprove","Beautiful scary complicated",0.431149915477145,0.365286942849433,"Bang Snaps",1
"Yes","Friends","Rarely","Sunscreen","Outdoors","Lost misguided hopeful","","","Male","25-34","White","No","Northeast",2,1,1,63,"Disapprove","Disapprove","Disapprove","Lost misguided hopeful",0.90420296790202,0.908871630363372,"Bang Snaps",1
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Jeans;Sunscreen","Both","free rich opportunity","","","Female","18-24","White","No","Midwest",2,5,5,64,"Approve","Disapprove","Approve","free rich opportunity",0.119260886964131,0.172702682447355,"Bang Snaps",0
"Yes","Family","Usually","Jeans","Outdoors","Honestly pretty embarrassing","","","Male","25-34","White","No","Midwest",3,1,1,65,"Disapprove","Neutral","Disapprove","Honestly pretty embarrassing",0.214583657487779,0.237244928654966,"Bang Snaps",0
"Yes","Family","Usually","Clothing making a political statement","Indoors","Angry Intolerant Insane","","","Female","55+","White","No","West",4,1,1,66,"Disapprove","Approve","Disapprove","Angry Intolerant Insane",4.5865437784485,2.49641151216927,"Bang Snaps",0
"Yes","Family","Usually","Jeans;Sunscreen","Both","White racist traitorville","","","Male","45-54","Multiple Races","No","West",3,1,1,67,"Disapprove","Neutral","Disapprove","White racist traitorville",0.220845922992998,0.142577306346065,"Bang Snaps",0
"Yes","Family;Friends;By myself;With strangers","Usually","Clothing that is primarily red and white stripes;Jeans","Outdoors","Best damn county","","","Male","35-44","Multiple Races","No","West",1,3,5,68,"Approve","Disapprove","Neutral","Best damn county",0.183975422144194,0.256198267460761,"Bang Snaps",1
"Yes","Family","Usually","None of the above","Outdoors","Hungry poor tired","","","Male","55+","White","No","Northeast",3,1,1,69,"Disapprove","Neutral","Disapprove","Hungry poor tired",4.27304256834385,2.50911113756096,"Bang Snaps",1
"Yes","Family;Friends;With strangers","Always","None of the above","Both","land of freedom","","","Male","45-54","White","No","West",1,2,4,70,"Approve","Disapprove","Disapprove","land of freedom",0.6376021643048,1.31102221644603,"Bang Snaps",1
"Yes","Family;Friends","Always","Clothing featuring the American Flag;Clothing featuring a bald eagle;Jeans","Both","Free Patriotic Christian","","","Male","55+","White","No","Midwest",1,4,5,71,"Approve","Disapprove","Approve","Free Patriotic Christian",1.01406999917695,1.58995197582552,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate;Political reasons","Jingoistic shady greedy","Other","18-24","White","No","Southeast",2,1,1,72,"Disapprove","Disapprove","Disapprove","Jingoistic shady greedy",0.00841017096077431,0.000299844774147394,"Bang Snaps",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle","Outdoors","Freedom awesome grand","","","Male","35-44","Other","No","Southeast",3,3,5,73,"Approve","Neutral","Neutral","Freedom awesome grand",0.112218971182217,0.114861590120673,"Bang Snaps",0
"Yes","Family","Always","Sunscreen","Outdoors","Going downhill fast","","","Male","45-54","Other","No","West",4,2,1,74,"Disapprove","Approve","Disapprove","Going downhill fast",0.477963102612926,0.351321465078804,"Bang Snaps",0
"Yes","Family;Friends","Always","None of the above","Both","Beautiful free generous","","","Female","35-44","White","No","West",1,4,5,75,"Approve","Disapprove","Approve","Beautiful free generous",1.95005074996331,3.37991481863688,"Bang Snaps",1
"Yes","Family;Friends","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Sunscreen","Both","Freedom broken divided","","","Female","25-34","White","No","Midwest",5,1,1,76,"Disapprove","Approve","Disapprove","Freedom broken divided",0.787811566779859,0.826297763014772,"Bang Snaps",1
"Yes","Family;Friends;With strangers","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Clothing featuring the American Flag;Clothing featuring a bald eagle","Both","Donald trump sucks","","","Male","35-44","White","No","Northeast",2,1,1,77,"Disapprove","Disapprove","Disapprove","Donald trump sucks",1.81676012865678,1.39939319748687,"Bang Snaps",0
"Yes","Family","Usually","Solid red clothing;Solid white clothing;Solid blue clothing","Both","Complicated loud home","","","Female","25-34","White","No","Midwest",5,1,1,78,"Disapprove","Approve","Disapprove","Complicated loud home",0.787811566779859,0.826297763014772,"Bang Snaps",0
"No","","","None of the above","","","Don't feel motivated to celebrate","free big cool","Female","18-24","White","No","Northeast",3,2,1,79,"Disapprove","Neutral","Disapprove","free big cool",0.502536163331714,0.272542963940985,"Bang Snaps",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Sunscreen","Outdoors","Free capitalist guns","","","Male","18-24","White","No","West",2,3,3,80,"Neutral","Disapprove","Neutral","Free capitalist guns",0.0400188150040658,0.000307257960847706,"Bang Snaps",1
"Yes","Family;Friends","Rarely","Jeans","Indoors","Lost misguided magnificent","","","Male","35-44","White","No","West",3,1,1,81,"Disapprove","Neutral","Disapprove","Lost misguided magnificent",0.53115369189653,0.399757294877877,"Bang Snaps",0
"Yes","Family;Friends","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Clothing featuring the American Flag;Clothing making a political statement;Sunscreen","Outdoors","Deteriorating freedom laughingstock","","","Female","18-24","White","No","West",5,2,1,82,"Disapprove","Approve","Disapprove","Deteriorating freedom laughingstock",0.146923049584156,0.0778559151200029,"Bang Snaps",1
"No","","","None of the above","","","Don't feel motivated to celebrate;Other","Divided changing hopeful","Male","18-24","White","No","Midwest",2,1,1,83,"Disapprove","Disapprove","Disapprove","Divided changing hopeful",0.0324842111986291,0.0204263009152258,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Always","Clothing featuring the American Flag","Both","The greatest country","","","Female","45-54","White","No","West",1,2,5,84,"Approve","Disapprove","Disapprove","The greatest country",2.34086027763695,4.56614491552526,"Bang Snaps",0
"Yes","Family;Friends","Usually","None of the above","Both","Bank-sponsored corruption headquarters","","","Male","35-44","Other","No","Southeast",1,1,1,85,"Disapprove","Disapprove","Disapprove","Bank-sponsored corruption headquarters",0.112218971182217,0.0473156821778107,"Bang Snaps",0
"Yes","Family;Friends;By myself","Usually","Clothing featuring the American Flag;Jeans;Sunscreen","Both","United States of","","","Male","18-24","White","No","Southwest",2,2,1,86,"Disapprove","Disapprove","Disapprove","United States of",0.0213843360577162,0.0278046717930336,"Bang Snaps",0
"Yes","Friends","Always","Sunscreen","Outdoors","Imperfect Home Free","","","Male","25-34","White","No","Northeast",2,1,1,87,"Disapprove","Disapprove","Disapprove","Imperfect Home Free",0.90420296790202,0.908871630363372,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Usually","Solid red clothing;Clothing that is primarily red and white stripes;Clothing making a political statement;Jeans;Sunscreen","Outdoors","Capitalist Imperialist Dying","","","Male","25-34","White","No","Midwest",1,1,1,88,"Disapprove","Disapprove","Disapprove","Capitalist Imperialist Dying",0.214583657487779,0.237244928654966,"Bang Snaps",0
"Yes","Family","Always","Sunscreen","Outdoors","Needs some work","","","Female","35-44","Multiple Races","No","West",5,1,1,89,"Disapprove","Approve","Disapprove","Needs some work",0.675438042511035,0.367575121516052,"Bang Snaps",0
"Yes","Family;Friends","Never","Jeans;Sunscreen","Outdoors","In-crisis Hypocritical corrupt","","","Male","25-34","Other","No","Midwest",4,1,1,90,"Disapprove","Approve","Disapprove","In-crisis Hypocritical corrupt",0.160857469507991,0.154333885452908,"Bang Snaps",0
"Yes","Family;Friends","Usually","Solid blue clothing","Outdoors","Yes we can","","","Male","18-24","Other","Yes","Southeast",3,2,1,91,"Disapprove","Neutral","Disapprove","Yes we can",0.0511002496196768,0.0272878317546011,"Bang Snaps",1
"Yes","With strangers","Usually","Clothing making a political statement;Jeans","Outdoors","America hell yeah","","","Male","45-54","White","No","West",1,4,5,92,"Approve","Disapprove","Approve","America hell yeah",0.6376021643048,1.31102221644603,"Bang Snaps",0
"Yes","Family;Friends","Usually","Solid red clothing;Solid white clothing;Solid blue clothing;Jeans","Outdoors","imperfect hope loud","","","Female","25-34","White","No","West",4,1,1,93,"Disapprove","Approve","Disapprove","imperfect hope loud",0.970541816645894,0.904271463769729,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Clothing featuring the American Flag;Jeans;Sunscreen","Outdoors","Freedom Brave Equality","","","Female","25-34","White","No","West",1,3,4,94,"Approve","Disapprove","Neutral","Freedom Brave Equality",0.970541816645894,2.19517194825628,"Bang Snaps",1
"Yes","Family","Always","None of the above","Both","Red white blue","","","Male","55+","White","No","Northeast",1,3,5,95,"Approve","Disapprove","Neutral","Red white blue",4.27304256834385,6.09101426386911,"Bang Snaps",0
"Yes","Family","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Jeans","Both","Great wonderful beautiful","","","Female","55+","Other","No","West",1,4,5,96,"Approve","Disapprove","Approve","Great wonderful beautiful",3.43819205351583,3.94230523952987,"Bang Snaps",1
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate","Commercialized politicized not-free","Male","25-34","White","No","Midwest",1,1,1,97,"Disapprove","Disapprove","Disapprove","Commercialized politicized not-free",0.214583657487779,0.237244928654966,"Bang Snaps",0
"Yes","Family","Rarely","None of the above","Both","Way too nationalistic","","","Female","45-54","White","No","Southeast",4,1,1,98,"Disapprove","Approve","Disapprove","Way too nationalistic",0.659746327495068,0.342234925952769,"Bang Snaps",1
"Yes","Family;Friends","Always","Solid blue clothing;Clothing that is primarily red and white stripes;Sunscreen","Outdoors","Proud loud free","","","Female","18-24","White","No","Southwest",2,4,3,99,"Neutral","Disapprove","Approve","Proud loud free",0.0785093678214332,0.00133109355862048,"Bang Snaps",1
"Yes","Family;Friends","Always","Sunscreen","Both","Loud Proud Stuck","","","Male","18-24","Multiple Races","No","Northeast",4,1,1,100,"Disapprove","Approve","Disapprove","Loud Proud Stuck",0.0474112290633541,0.0206588150640025,"Bang Snaps",1
"Yes","Family","Rarely","None of the above","Outdoors","Diverse complicated patriotic","","","Male","18-24","Multiple Races","Yes","Midwest",4,1,1,101,"Disapprove","Approve","Disapprove","Diverse complicated patriotic",0.068002463773697,0.0556170748979491,"Bang Snaps",1
"No","","","None of the above","","","Other","Turmoil Tyrancy Greed","Female","55+","White","No","Southeast",4,1,1,102,"Disapprove","Approve","Disapprove","Turmoil Tyrancy Greed",1.29266810267779,0.454214017398436,"Bang Snaps",0
"Yes","Family;Friends;By myself;With strangers","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily blue and white stars;Clothing featuring the American Flag","Both","Home of Brave","","","Male","18-24","Multiple Races","No","Southeast",5,1,1,103,"Disapprove","Approve","Disapprove","Home of Brave",0.00390665731653144,0.00107375797676195,"Bang Snaps",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;No one to celebrate with","proud large loud","Female","25-34","White","No","Southwest",3,2,1,104,"Disapprove","Neutral","Disapprove","proud large loud",0.518615865140275,1.12477233148064,"Bang Snaps",0
"Yes","Friends","Never","Clothing making a political statement;Sunscreen","Both","Racist sexist colonialism","","","Female","25-34","White","No","Midwest",3,1,1,105,"Disapprove","Neutral","Disapprove","Racist sexist colonialism",0.787811566779859,0.826297763014772,"Bang Snaps",0
"Yes","Family;Friends;With strangers","Always","Jeans;Sunscreen;None of the above","Outdoors","Young unruly Loud","","","Female","18-24","Other","No","West",2,1,1,106,"Disapprove","Disapprove","Disapprove","Young unruly Loud",0.110137324739422,0.0506472612674341,"Bang Snaps",1
"Yes","Family;Friends","Usually","Solid red clothing;Clothing featuring the American Flag","Both","Greatest Country Ever","","","Male","55+","White","No","Southeast",1,5,5,107,"Approve","Disapprove","Approve","Greatest Country Ever",0.352096187828501,0.316585202594537,"Bang Snaps",0
"Yes","Friends","Usually","None of the above","Both","Idea government crumbling","","","Female","55+","White","No","Southwest",4,1,1,108,"Disapprove","Approve","Disapprove","Idea government crumbling",2.45085201777728,3.10514564417657,"Bang Snaps",0
